name,manufacturer,mrpDecimal,productTierAttributes,salePriceDecimal,discountPercent
Pharmeasy Hot Water Bag - Relieves Pain - Relaxes Sore Muscles - Improves Blood Supply - Red - 2l,PHARMEASY,349.00,Guaranteed Delivery,226.85,35
Liveasy Wellness Diabetic Protein Powder French Vanilla Flavour 1000g,LIVEASY,2199.00,Guaranteed Delivery,1209.45,45
Liveasy Essentials Waterproof Bandages - Jar Of 100,LIVEASY,249.00,Guaranteed Delivery,236.55,5
Liveasy Ortho Care Cotton Crepe Bandage - Reduces Strain Sprain & Swelling - 10 Cms X 4 Meters,LIVEASY,225.00,Guaranteed Delivery,191.25,15
Everherb (By Pharmeasy) Fat Burner|Natural Herbal Blend|Accelerates Calorie Burning - Bottle Of 60,EVERHERB,799.00,Guaranteed Delivery,415.48,48
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 120,PHARMEASY,1299.00,Guaranteed Delivery,714.45,45
Liveasy Wellness Mosquito Repellent Cream With Vitamin E And Almond Oil Tube Of 50gm,LIVEASY,50.00,Guaranteed Delivery,47.50,5
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 8,LIVEASY,599.00,Guaranteed Delivery,341.43,43
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 10,LIVEASY,599.00,Guaranteed Delivery,341.43,43
Pharmeasy Abdominal Binder / Waist Trimmer 8 - Supports Back - Gives Slimmer Look - Universal,PHARMEASY,649.00,Guaranteed Delivery,350.46,46
Liveasy Ortho Care Cotton Crepe Bandage - Reduces Strain Sprain & Swelling - 8 Cms X 4 Meters,LIVEASY,180.00,Guaranteed Delivery,153.00,15
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 9,LIVEASY,599.00,Guaranteed Delivery,455.24,24
Liveasy Ortho Care Knee Cap (Pair) - Modern Orthopedic Solution - Medium,LIVEASY,329.00,Guaranteed Delivery,279.65,15
Liveasy Foods Baked Quinoa Puffs - Powerhouse Of Protein & 9 Essential Amino Acids - 100 Grams,LIVEASY,299.00,Guaranteed Delivery,161.46,46
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 7,LIVEASY,599.00,Guaranteed Delivery,341.43,43
Liveasy Essentials Copper Bottle - Ayurvedic Health Benefits - Leak Proof Cap - 950ml,LIVEASY,1199.00,Guaranteed Delivery,719.40,40
